id,label
00000.png,truck
00001.png,deer
00002.png,deer
00003.png,bird
00004.png,frog
00005.png,ship
00006.png,frog
00007.png,bird
00008.png,horse
00009.png,ship
00010.png,horse
00011.png,cat
00012.png,truck
00013.png,truck
00014.png,frog
00015.png,frog
00016.png,cat
00017.png,deer
00018.png,dog
00019.png,ship
00020.png,cat
00021.png,automobile
00022.png,truck
00023.png,deer
00024.png,cat
00025.png,airplane
00026.png,dog
00027.png,cat
00028.png,deer
00029.png,airplane
00030.png,deer
00031.png,horse
00032.png,cat
00033.png,airplane
00034.png,airplane
00035.png,bird
00036.png,dog
00037.png,cat
00038.png,frog
00039.png,bird
00040.png,automobile
00041.png,bird
00042.png,cat
00043.png,automobile
00044.png,dog
00045.png,dog
00046.png,automobile
00047.png,horse
00048.png,dog
00049.png,cat
00050.png,horse
00051.png,deer
00052.png,ship
00053.png,ship
00054.png,cat
00055.png,bird
00056.png,ship
00057.png,ship
00058.png,automobile
00059.png,truck
00060.png,deer
00061.png,bird
00062.png,bird
00063.png,airplane
00064.png,cat
00065.png,horse
00066.png,cat
00067.png,deer
00068.png,cat
00069.png,cat
00070.png,cat
00071.png,deer
00072.png,frog
00073.png,deer
00074.png,deer
00075.png,cat
00076.png,bird
00077.png,frog
00078.png,bird
00079.png,horse
00080.png,horse
00081.png,truck
00082.png,ship
00083.png,bird
00084.png,truck
00085.png,dog
00086.png,cat
00087.png,ship
00088.png,horse
00089.png,ship
00090.png,bird
00091.png,dog
00092.png,airplane
00093.png,frog
00094.png,horse
00095.png,ship
00096.png,dog
00097.png,ship
00098.png,ship
00099.png,dog
00100.png,frog
00101.png,ship
00102.png,automobile
00103.png,automobile
00104.png,frog
00105.png,airplane
00106.png,deer
00107.png,airplane
00108.png,cat
00109.png,horse
00110.png,bird
00111.png,automobile
00112.png,deer
00113.png,airplane
00114.png,cat
00115.png,truck
00116.png,cat
00117.png,airplane
00118.png,bird
00119.png,automobile
00120.png,truck
00121.png,bird
00122.png,cat
00123.png,ship
00124.png,deer
00125.png,truck
00126.png,bird
00127.png,horse
00128.png,horse
00129.png,airplane
00130.png,automobile
00131.png,automobile
00132.png,frog
00133.png,bird
00134.png,automobile
00135.png,deer
00136.png,bird
00137.png,ship
00138.png,cat
00139.png,truck
00140.png,automobile
00141.png,horse
00142.png,deer
00143.png,airplane
00144.png,cat
00145.png,horse
00146.png,ship
00147.png,deer
00148.png,dog
00149.png,dog
00150.png,dog
00151.png,frog
00152.png,airplane
00153.png,deer
00154.png,truck
00155.png,frog
00156.png,deer
00157.png,airplane
00158.png,ship
00159.png,horse
00160.png,airplane
00161.png,dog
00162.png,horse
00163.png,ship
00164.png,dog
00165.png,dog
00166.png,frog
00167.png,airplane
00168.png,ship
00169.png,airplane
00170.png,ship
00171.png,cat
00172.png,frog
00173.png,airplane
00174.png,airplane
00175.png,automobile
00176.png,horse
00177.png,ship
00178.png,truck
00179.png,automobile
00180.png,automobile
00181.png,automobile
00182.png,airplane
00183.png,ship
00184.png,bird
00185.png,cat
00186.png,bird
00187.png,frog
00188.png,bird
00189.png,frog
00190.png,deer
00191.png,cat
00192.png,bird
00193.png,dog
00194.png,horse
00195.png,frog
00196.png,airplane
00197.png,cat
00198.png,horse
00199.png,horse
00200.png,bird
00201.png,cat
00202.png,automobile
00203.png,bird
00204.png,truck
00205.png,airplane
00206.png,truck
00207.png,dog
00208.png,airplane
00209.png,deer
00210.png,dog
00211.png,automobile
00212.png,ship
00213.png,ship
00214.png,cat
00215.png,cat
